Summary of Image Quality Metrics:
Mean PSNR: 23.99, Max PSNR: 32.16
Mean RMSE: 0.0737, Max RMSE: 0.1802
Mean BRISQUE: 36.7641, Max BRISQUE: 54.5519
Mean CPBD: 0.5402, Max CPBD: 0.8551
Mean JNB: 3.3251, Max JNB: 5.8941
Mean FSIM: 0.9221, Max FSIM: 0.9884
Mean MSSIM: 0.9197, Max MSSIM: 0.9918
Mean TVD: 0.2242, Max TVD: 0.6308
Mean lpc: 0.8971, Max lpc: 0.9556
