Summary of Image Quality Metrics:
Mean PSNR: 14.72, Max PSNR: 17.08
Mean RMSE: 0.1873, Max RMSE: 0.2589
Mean BRISQUE: 43.7005, Max BRISQUE: 56.9752
Mean CPBD: 0.1948, Max CPBD: 0.5942
Mean JNB: 1.5197, Max JNB: 3.1338
Mean FSIM: 0.6608, Max FSIM: 0.7152
Mean MSSIM: 0.4357, Max MSSIM: 0.5108
Mean TVD: 0.3980, Max TVD: 0.5964
Mean lpc: 0.8528, Max lpc: 0.9340
