Summary of Image Quality Metrics:
Mean PSNR: 14.24, Max PSNR: 17.02
Mean RMSE: 0.1978, Max RMSE: 0.2439
Mean BRISQUE: 39.2958, Max BRISQUE: 45.9096
Mean CPBD: 0.3977, Max CPBD: 0.5826
Mean JNB: 1.7663, Max JNB: 2.3867
Mean FSIM: 0.7011, Max FSIM: 0.7652
Mean MSSIM: 0.6183, Max MSSIM: 0.7056
Mean TVD: 0.4791, Max TVD: 0.6112
Mean lpc: 0.8310, Max lpc: 0.9501
