Summary of Image Quality Metrics:
Mean PSNR: 24.69, Max PSNR: 34.48
Mean RMSE: 0.0646, Max RMSE: 0.2223
Mean BRISQUE: 37.5461, Max BRISQUE: 63.5487
Mean CPBD: 0.3313, Max CPBD: 0.7858
Mean JNB: 2.2021, Max JNB: 4.0649
Mean FSIM: 0.8947, Max FSIM: 0.9843
Mean MSSIM: 0.9023, Max MSSIM: 0.9890
Mean TVD: 0.1562, Max TVD: 0.5431
Mean lpc: 0.7281, Max lpc: 0.9557
